[Fri Jan 29 08:26:08.633251 2016] [authz_core:error] [pid 4612:tid 1652] [client 192.168.0.58:59631] AH01630: client denied by server configuration: C:/xampp/htdocs/favicon.ico, referer: http://192.168.0.11/it_base/backend/web/index.php?EmployeesSearch%5Bsnp%5D=%D0%A1&r=employees%2Findex&mode=&id_wp=&pag=0
[Fri Jan 29 08:27:11.180643 2016] [authz_core:error] [pid 4612:tid 1636] [client 192.168.0.58:59640] AH01630: client denied by server configuration: C:/xampp/htdocs/favicon.ico, referer: http://192.168.0.11/it_base/backend/web/index.php?EmployeesSearch%5Bid%5D=&EmployeesSearch%5Bsnp%5D=%D0%A1&EmployeesSearch%5Bjob_title%5D=%D0%9D%D0%B0%D1%87%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%BA+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8&EmployeesSearch%5Bbranch_id%5D=&r=employees%2Findex&mode=&id_wp=&pag=0
[Fri Jan 29 08:27:13.618675 2016] [authz_core:error] [pid 4612:tid 1636] [client 192.168.0.58:59640] AH01630: client denied by server configuration: C:/xampp/htdocs/favicon.ico, referer: http://192.168.0.11/it_base/backend/web/index.php?EmployeesSearch%5Bid%5D=&EmployeesSearch%5Bsnp%5D=&EmployeesSearch%5Bjob_title%5D=%D0%9D%D0%B0%D1%87%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%BA+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8&EmployeesSearch%5Bbranch_id%5D=&r=employees%2Findex&mode=&id_wp=&pag=0
[Fri Jan 29 08:27:16.478114 2016] [authz_core:error] [pid 4612:tid 1636] [client 192.168.0.58:59640] AH01630: client denied by server configuration: C:/xampp/htdocs/favicon.ico, referer: http://192.168.0.11/it_base/backend/web/index.php?EmployeesSearch%5Bid%5D=&EmployeesSearch%5Bsnp%5D=%D0%A1%D0%BE%D1%81%D0%B5%D0%B4%D0%BE%D0%B2+%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2+%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87&EmployeesSearch%5Bjob_title%5D=%D0%9D%D0%B0%D1%87%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%BA+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8&EmployeesSearch%5Bbranch_id%5D=&r=employees%2Findex&mode=&id_wp=&pag=0
[Fri Jan 29 08:27:18.235942 2016] [authz_core:error] [pid 4612:tid 1636] [client 192.168.0.58:59640] AH01630: client denied by server configuration: C:/xampp/htdocs/favicon.ico, referer: http://192.168.0.11/it_base/backend/web/index.php?EmployeesSearch%5Bid%5D=&EmployeesSearch%5Bsnp%5D=%D0%A1%D0%BE%D1%81%D0%B5%D0%B4%D0%BE%D0%B2+%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2+%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87&EmployeesSearch%5Bjob_title%5D=&EmployeesSearch%5Bbranch_id%5D=&r=employees%2Findex&mode=&id_wp=&pag=0
[Fri Jan 29 08:27:19.809213 2016] [authz_core:error] [pid 4612:tid 1636] [client 192.168.0.58:59640] AH01630: client denied by server configuration: C:/xampp/htdocs/favicon.ico, referer: http://192.168.0.11/it_base/backend/web/index.php?EmployeesSearch%5Bid%5D=&EmployeesSearch%5Bsnp%5D=%D0%A1%D0%BE%D1%81%D0%B5%D0%B4%D0%BE%D0%B2+%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2+%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87&EmployeesSearch%5Bjob_title%5D=&EmployeesSearch%5Bbranch_id%5D=&r=employees%2Findex&mode=&id_wp=&pag=0
[Fri Jan 29 08:27:21.929856 2016] [authz_core:error] [pid 4612:tid 1636] [client 192.168.0.58:59640] AH01630: client denied by server configuration: C:/xampp/htdocs/favicon.ico, referer: http://192.168.0.11/it_base/backend/web/index.php?EmployeesSearch%5Bid%5D=&EmployeesSearch%5Bsnp%5D=%D0%A1%D0%BE%D1%81%D0%B5%D0%B4%D0%BE%D0%B2&EmployeesSearch%5Bjob_title%5D=&EmployeesSearch%5Bbranch_id%5D=&r=employees%2Findex&mode=&id_wp=&pag=0
[Fri Jan 29 08:27:26.371347 2016] [authz_core:error] [pid 4612:tid 1636] [client 192.168.0.58:59640] AH01630: client denied by server configuration: C:/xampp/htdocs/favicon.ico, referer: http://192.168.0.11/it_base/backend/web/index.php?EmployeesSearch%5Bid%5D=&EmployeesSearch%5Bsnp%5D=%D1%81%D0%BE%D1%81%D0%B5%D0%B4%D0%BE%D0%B2&EmployeesSearch%5Bjob_title%5D=&EmployeesSearch%5Bbranch_id%5D=&r=employees%2Findex&mode=&id_wp=&pag=0
[Fri Jan 29 08:27:34.229485 2016] [authz_core:error] [pid 4612:tid 1636] [client 192.168.0.58:59644] AH01630: client denied by server configuration: C:/xampp/htdocs/favicon.ico, referer: http://192.168.0.11/it_base/backend/web/index.php?EmployeesSearch%5Bid%5D=&EmployeesSearch%5Bsnp%5D=%D0%A1%D0%BE%D1%81%D0%B5%D0%B4%D0%BE%D0%B2&EmployeesSearch%5Bjob_title%5D=&EmployeesSearch%5Bbranch_id%5D=&r=employees%2Findex&mode=&id_wp=&pag=0
[Fri Jan 29 08:27:41.858799 2016] [authz_core:error] [pid 4612:tid 1636] [client 192.168.0.58:59644] AH01630: client denied by server configuration: C:/xampp/htdocs/favicon.ico, referer: http://192.168.0.11/it_base/backend/web/index.php?EmployeesSearch%5Bid%5D=&EmployeesSearch%5Bsnp%5D=&EmployeesSearch%5Bjob_title%5D=&EmployeesSearch%5Bbranch_id%5D=&r=employees%2Findex&mode=&id_wp=&pag=0
